drug	correlation	p_value	n	p_adjusted	significant_fdr
BRD:BRD-K69726595-001-01-2	0.0670101695550277	0.1154847149571551	553	0.7927546382963394	False
BRD:BRD-K48059512-003-01-0	0.06702866309090509	0.14723796568743672	469	0.8219650492154336	False
BRD:BRD-K40109029-001-02-9	0.06704461779391005	0.11463892951638242	555	0.792434678315576	False
BRD:BRD-K16755045-003-01-7	0.0670502442966859	0.14667474129282299	470	0.8219650492154336	False
BRD:BRD-K39576764-071-01-6	0.06712895545434869	0.047006737713427414	876	0.7349749151867362	False
BRD:BRD-A30886737-001-02-9	0.06720126798315487	0.11544035536060589	550	0.7927546382963394	False
BRD:BRD-K69280563-001-01-8	0.06723944999075437	0.11623400931518657	547	0.7927546382963394	False
BRD:BRD-K82484347-001-01-2	0.06724962298645586	0.14547469412560934	470	0.8209157294362215	False
BRD:BRD-K36163066-304-02-4	0.06724985415015414	0.14547330712919448	470	0.8209157294362215	False
BRD:BRD-K83988098-001-02-0	0.06728982701055017	0.11663190289650337	545	0.7927546382963394	False
BRD:BRD-K07881437-001-03-8	0.06743231022511283	0.12031690288546941	532	0.7989855807926727	False
BRD:BRD-K40308497-001-01-2	0.06753480265625343	0.12366615496059574	521	0.7989855807926727	False
BRD:BRD-K21782625-001-03-2	0.06754364218271806	0.12325542199795088	522	0.7989855807926727	False
BRD:BRD-K00003156-066-01-9	0.06764166076840729	0.0450985278256117	878	0.7349749151867362	False
BRD:BRD-K79239947-001-06-8	0.06767086314451502	0.11390542138807047	547	0.7900079787793652	False
BRD:BRD-K69726342-238-02-4	0.06771983016397483	0.11167275594499197	553	0.7849461830916102	False
BRD:BRD-K97061094-001-21-4	0.06781579703985487	0.1268896606520147	508	0.8030498370015018	False
BRD:BRD-K04568635-300-01-4	0.06783846213150047	0.11367437098060881	545	0.7900079787793652	False
BRD:BRD-K83636919-001-04-8	0.06787146322625563	0.11217633397080479	549	0.7851765385640259	False
BRD:BRD-K36461289-001-05-8	0.06787300557567039	0.11282701984695717	547	0.7867251427894043	False
BRD:BRD-K59204667-001-03-1	0.06792416107545352	0.11091805579499903	552	0.7848472174256721	False
BRD:BRD-K97365803-001-02-1	0.0680336202604109	0.11296863243294096	544	0.7867251427894043	False
BRD:BRD-K56107812-001-01-7	0.06803620896894434	0.11633454166642532	534	0.7927546382963394	False
BRD:BRD-K73197500-001-02-2	0.06803913832557405	0.1106381728516805	551	0.7848472174256721	False
BRD:BRD-K30126819-304-02-7	0.06807263066858119	0.1101380978990572	552	0.7848472174256721	False
BRD:BRD-A99899486-004-01-9	0.068187624306275	0.11518046309524037	535	0.7927546382963394	False
BRD:BRD-K19761926-001-02-8	0.06822274057625476	0.11098020308960271	547	0.7848472174256721	False
BRD:BRD-A86523169-001-01-0	0.06822771808481559	0.14012009516640625	469	0.8162057943456041	False
BRD:BRD-A54927599-001-16-9	0.0682415062002218	0.11153945330046071	545	0.7848472174256721	False
BRD:BRD-K01054709-001-01-3	0.06828893497394063	0.1393401643611342	470	0.8162057943456041	False
BRD:BRD-K47929404-001-01-0	0.06830091814839909	0.11491742176959757	534	0.7927546382963394	False
BRD:BRD-K60025295-003-06-6	0.06830913039832738	0.10955068617903183	550	0.7848472174256721	False
BRD:BRD-K97158071-001-18-1	0.06831015624616123	0.10793805548156941	555	0.782272670276762	False
BRD:BRD-K04623885-001-07-5	0.06840837252332126	0.11066485407049408	545	0.7848472174256721	False
BRD:BRD-K68264559-045-04-0	0.06846623347569804	0.11472213384156278	532	0.792434678315576	False
BRD:BRD-K21361524-001-01-1	0.06863094557040482	0.10628961794084107	555	0.7768638383404853	False
BRD:BRD-K55790047-001-02-9	0.06870167154973703	0.04206437880376088	876	0.7243508772285912	False
BRD:BRD-K53561341-001-07-5	0.06874514895662216	0.10697839737686382	551	0.7790839973069469	False
BRD:BRD-K24452555-001-01-7	0.06877779014201281	0.11206129067234036	535	0.7851765385640259	False
BRD:BRD-K17295893-001-01-0	0.0687997597994704	0.11228371413043728	534	0.7851765385640259	False
BRD:BRD-K43383936-001-05-2	0.06882526808177364	0.1104761710382456	539	0.7848472174256721	False
BRD:BRD-A97674275-001-11-8	0.06890659976653275	0.10488907415480518	555	0.7751560791540202	False
BRD:BRD-K86525559-001-07-8	0.06891637360820696	0.11579989417465246	522	0.7927546382963394	False
BRD:BRD-K91106808-001-03-9	0.0689608254059911	0.04164381287206241	873	0.7231751647092168	False
BRD:BRD-K81645297-236-01-1	0.06897346219859826	0.1051814893899379	553	0.7751560791540202	False
BRD:BRD-K15898725-001-01-7	0.06903764735125537	0.10517339066752648	552	0.7751560791540202	False
