drug,correlation,p_value,n,significance
BRD:BRD-K03827870-001-02-9,-0.08347542773014516,0.013351192916528552,878,p < 0.05
BRD:BRD-K00495673-001-05-2,-0.08342773241815742,0.013510673188878353,876,p < 0.05
BRD:BRD-A67616246-001-07-9,-0.08333422589826743,0.05078250571300138,550,NS
BRD:BRD-K36740062-001-06-6,-0.08315881079552255,0.051486048985058014,549,NS
BRD:BRD-A92872453-001-01-8,-0.08286314627472101,0.0527570182856624,547,NS
BRD:BRD-A02473266-001-01-1,-0.08271990674856412,0.07319369196903516,470,NS
BRD:BRD-K47464228-001-14-9,-0.08269688294242737,0.014353050997817335,876,p < 0.05
BRD:BRD-K16295392-003-01-3,-0.082565439067111,0.052315821731725345,553,NS
BRD:BRD-K13249881-001-02-3,-0.08252569286924502,0.05714058021446775,532,NS
BRD:BRD-A43598550-001-09-4,-0.08232109368366855,0.05433066740023943,547,NS
BRD:BRD-K74186897-001-12-4,-0.08225272225915718,0.060887180734912824,520,NS
BRD:BRD-K00003296-001-01-9,-0.08192795519105878,0.015172416325185425,878,p < 0.05
BRD:BRD-A37873789-003-02-9,-0.08178032960054044,0.015652636595371094,873,p < 0.05
BRD:BRD-K50938287-036-13-8,-0.08166933083775783,0.055600155733788736,550,NS
BRD:BRD-K63874012-001-02-9,-0.08161210323379503,0.05466552919173858,555,NS
BRD:BRD-K13142315-004-01-2,-0.08151727760824169,0.07748216569057059,470,NS
BRD:BRD-K97072811-001-11-4,-0.08141142144260503,0.05593092915620881,552,NS
BRD:BRD-K93240442-001-08-4,-0.08137216982535479,0.056498772380398674,550,NS
BRD:BRD-K96194081-001-10-2,-0.08117752846215563,0.05597126597809408,555,NS
BRD:BRD-K00003361-001-01-9,-0.08111469473464894,0.016521874625940552,873,p < 0.05
BRD:BRD-A25234499-001-18-3,-0.08108448168260367,0.057153093036171,551,NS
BRD:BRD-A42167015-003-10-2,-0.08102615676077447,0.057106167593900796,552,NS
BRD:BRD-M29936662-001-02-0,-0.0809150006563195,0.05677254276472532,555,NS
BRD:BRD-K81062487-001-05-8,-0.08071322249299698,0.05853448975072531,550,NS
BRD:BRD-K24048528-001-01-7,-0.08068958514800946,0.0654567413454973,522,NS
BRD:BRD-A11132253-001-08-2,-0.08052297775342324,0.0642194136505578,529,NS
BRD:BRD-A20348246-001-15-8,-0.08049934298102684,0.05874628713918496,552,NS
BRD:BRD-K26824830-001-02-0,-0.08016085262021656,0.05958854955228895,553,NS
BRD:BRD-K31283835-048-04-4,-0.08014381635871945,0.061766973213685614,544,NS
BRD:BRD-K11215326-001-03-7,-0.07996150007628863,0.0679331256419451,522,NS
BRD:BRD-K35960502-001-20-0,-0.0799493311623269,0.06097007059136819,550,NS
BRD:BRD-K49841478-001-01-6,-0.07991368384511559,0.06499314844628688,534,NS
BRD:BRD-K20372197-001-03-1,-0.07985831953831478,0.06829020257259934,522,NS
BRD:BRD-K65359424-001-01-3,-0.07985658101121046,0.0659488766820767,531,NS
BRD:BRD-K14619660-001-01-5,-0.07983400095387243,0.0613449612732112,550,NS
BRD:BRD-K13261168-300-01-0,-0.07978668599655776,0.06149931227159089,550,NS
