cell_line_id,IIR_score_norm,IIR_group,ImmuneScore_norm,PD1_signature,DPI_norm
ACH-001849,0.4048193275029745,Mid,0.038142105792819105,-0.25689657648406744,0.612895265084517
ACH-000644,0.40157890189926426,Mid,0.020918085708515926,-0.2393643037037943,0.61275052131118
ACH-001422,0.4049170031063334,Mid,0.006372939321666331,-0.07916056547766745,0.6126282897205602
ACH-000588,0.4171642835520664,High,0.009550673646692613,0.19644220500991705,0.612654994128394
ACH-000849,0.4063647391481222,Mid,0.025120900564471464,-0.14801580123199803,0.6127858400856537
ACH-002690,0.40474951254902825,Mid,0.01858376081001823,-0.04286090574187142,0.6125778052997665
ACH-000219,0.4130088638970281,High,0.0188347064737497,0.04572207924294288,0.6127330134256658
ACH-000150,0.4045857588991994,Mid,0.0023035587309344027,-0.06462200813951662,0.6125940922742635
ACH-001845,0.39987625085088935,Low,0.0,-0.16462934218518324,0.6125747340883588
ACH-002643,0.4087137514839745,Mid,0.0048496795899995475,0.020127163366859237,0.6126154888552422
ACH-000384,0.4137745269178396,High,0.04268021678257009,-0.06760269428126651,0.6129334015535447
ACH-001053,0.4057015355898174,Mid,0.018994598290298065,-0.13006662195953808,0.6127343570925181
ACH-001274,0.3930500592264647,Low,0.0015344614270789685,-0.22935972268212446,0.6125747655786918
ACH-000091,0.3985132028601151,Low,0.005239865159861509,-0.12064269362908575,0.6125755387063971
ACH-002932,0.39618988055177556,Low,0.0052361319792296095,-0.2817739229897639,0.6126187364464991
ACH-002014,0.3911736298647172,Low,0.004822246677205057,-0.39955627070242966,0.6126152583200192
ACH-001634,0.4374519270999595,High,0.015803735340340172,0.6475176723255377,0.6127075423569733
ACH-002531,0.40129526677870625,Mid,0.0,-0.13066421861330263,0.6125747340883588
ACH-000495,0.4694190505246219,High,0.05215704639402627,0.04229036154298817,0.6106330583946555
ACH-000911,0.41023991676154953,Mid,0.03629897235576003,-0.11697506987942212,0.6128797761285626
ACH-000013,0.41118378452414844,High,0.03422310271801949,-0.08292203529807289,0.612862331350697
ACH-002667,0.4186453263178912,High,0.07113061556930417,-0.10809186439949063,0.6131724873217439
ACH-000777,0.4031159971522279,Mid,0.011554337213845163,-0.15087546437652335,0.6126718321153324
ACH-001765,0.43413253707840993,High,0.08077524240935756,-0.22439216395037923,0.6070088896886636
ACH-000312,0.3942800577697034,Low,0.017502362386019436,-0.29325305942325997,0.612583383516172
ACH-000085,0.4005002264469283,Mid,0.005650540565221228,-0.18089078171866227,0.6126222189704479
ACH-000436,0.4111480865833388,Mid,0.007197371011092534,0.06543300857543317,0.6126352179146173
ACH-000869,0.4120797263729561,High,0.049005916398447626,-0.14309320175120568,0.6129865602021597
ACH-003061,0.4177077181920088,High,0.051004784993676666,-0.01941912692078767,0.6130033578940727
ACH-003471,0.4006696537175999,Mid,0.0030465194633335657,-0.057891356182888654,0.6125753072119933
ACH-000267,0.5192119013246792,High,0.2085671289848216,1.4529080589803407,0.6157928373277083
ACH-000489,0.44288897022338963,High,0.13781581679883625,0.10402638348570703,0.6137328830716591
ACH-000431,0.40569177864988004,Mid,0.010054516684123613,-0.08094182694917473,0.6126592282236895
ACH-000152,0.3973229611946689,Low,0.00849590319896508,-0.16534727768633525,0.6125754504157745
ACH-000909,0.40220038315251594,Mid,0.011501144712357123,-0.0726880198185842,0.6125811939605518
ACH-000534,0.4186562511635909,High,0.05106351124640606,0.00296043446679264,0.6130038514060038
ACH-001489,0.39960756404028225,Low,0.004746706101465,-0.19726718665198656,0.612614623507245
ACH-000582,0.3925663696430097,Low,0.005088894611730071,-0.3676922523947289,0.6126174991225732
ACH-000460,0.40334190688045884,Mid,0.0022960180756978134,-0.09435283082582169,0.612594028905614
ACH-000443,0.41041605946835824,Mid,0.022131653546065073,-0.03454097825872371,0.6127607196497298
