submitter_id	total_snvs	Ageing_CpG_prop	APOBEC_prop
TCGA-AC-A2BK	69	0.217391304347826	0.0289855072463768
TCGA-AC-A2QH	55	0.381818181818182	0.109090909090909
TCGA-AC-A62X	52	0.461538461538462	0.0576923076923077
TCGA-AC-A6IW	147	0.136054421768708	0.333333333333333
TCGA-AC-A7VC	17	0.176470588235294	0
TCGA-AC-A8OQ	85	0.317647058823529	0.117647058823529
TCGA-AN-A04D	95	0.0842105263157895	0.0631578947368421
TCGA-AN-A0AL	76	0.0921052631578947	0.0921052631578947
TCGA-AN-A0AR	110	0.0818181818181818	0.109090909090909
TCGA-AN-A0AT	120	0.0583333333333333	0.0916666666666667
TCGA-AN-A0FJ	96	0.135416666666667	0.25
TCGA-AN-A0FL	167	0.143712574850299	0.131736526946108
TCGA-AN-A0FX	88	0.159090909090909	0.0909090909090909
TCGA-AN-A0G0	31	0.290322580645161	0.0645161290322581
TCGA-AN-A0XU	114	0.105263157894737	0.114035087719298
TCGA-AO-A0J4	112	0.0892857142857143	0.321428571428571
TCGA-AO-A0J6	96	0.104166666666667	0.15625
TCGA-AO-A124	130	0.123076923076923	0.0615384615384615
TCGA-AO-A128	988	0.324898785425101	0.0242914979757085
TCGA-AO-A12F	34	0.382352941176471	0
TCGA-AO-A1KR	71	0.112676056338028	0.126760563380282
TCGA-AQ-A04J	63	0.0634920634920635	0.0952380952380952
TCGA-AQ-A54N	56	0.142857142857143	0.0714285714285714
TCGA-AR-A0TP	56	0.0892857142857143	0.0535714285714286
TCGA-AR-A0TS	76	0.118421052631579	0.118421052631579
TCGA-AR-A0TU	75	0.133333333333333	0.12
TCGA-AR-A0U0	34	0.147058823529412	0.176470588235294
TCGA-AR-A0U1	88	0.0795454545454545	0.0568181818181818
TCGA-AR-A1AH	92	0.0978260869565217	0.0543478260869565
TCGA-AR-A1AI	72	0.152777777777778	0.208333333333333
TCGA-AR-A1AJ	36	0.277777777777778	0.305555555555556
TCGA-AR-A1AQ	31	0.225806451612903	0.129032258064516
TCGA-AR-A1AR	51	0.137254901960784	0.176470588235294
TCGA-AR-A1AY	56	0.214285714285714	0.142857142857143
TCGA-AR-A24Q	173	0.0520231213872832	0.15028901734104
TCGA-AR-A251	162	0.0679012345679012	0.12962962962963
TCGA-AR-A256	177	0.0790960451977401	0.135593220338983
TCGA-AR-A2LR	54	0.259259259259259	0.0555555555555556
TCGA-AR-A5QQ	62	0.0967741935483871	0.112903225806452
TCGA-B6-A0I2	55	0.181818181818182	0.363636363636364
TCGA-B6-A0I6	169	0.0946745562130178	0.0650887573964497
TCGA-B6-A0IJ	142	0.0704225352112676	0.154929577464789
TCGA-B6-A0RE	154	0.123376623376623	0.201298701298701
TCGA-B6-A0RT	50	0.1	0.18
TCGA-B6-A0RU	45	0.222222222222222	0.0888888888888889
TCGA-B6-A0WX	35	0.228571428571429	0.0285714285714286
TCGA-B6-A0X1	72	0.125	0.152777777777778
TCGA-B6-A1KF	54	0.240740740740741	0.148148148148148
TCGA-B6-A409	36	0.25	0.194444444444444
TCGA-BH-A0AV	66	0.0909090909090909	0.136363636363636
TCGA-BH-A0B3	38	0.210526315789474	0.210526315789474
TCGA-BH-A0B9	38	0.236842105263158	0.157894736842105
TCGA-BH-A0BL	54	0.166666666666667	0.0555555555555556
TCGA-BH-A0BW	74	0.135135135135135	0.108108108108108
TCGA-BH-A0DL	51	0.254901960784314	0.156862745098039
TCGA-BH-A0E0	37	0.405405405405405	0.027027027027027
TCGA-BH-A0RX	36	0.416666666666667	0.111111111111111
TCGA-BH-A0WA	98	0.102040816326531	0.163265306122449
TCGA-BH-A18G	1315	0.257794676806084	0.0106463878326996
